"ID PAGO","FECHA CREACION",USUARIO,EMPRESA,BANCO,IMPORTE,REFERENCIA,"FECHA DEPOSITO"
1,"2023-08-21 11:08",SysAdminUser,"100% PIEL","ABC CAPITAL",102.2345,ed827-0bb16-8aacc,2023-08-05
2,"2023-08-21 11:08",SysAdminUser,"100% PIEL","ABC CAPITAL",105,789,2023-08-21
3,"2023-08-22 12:08",SysAdminUser,"100% PIEL",ACTINVER,105,ed827-0bb16-8aacc,2023-08-14
5,"2023-08-22 12:08",SysAdminUser,PARMALIA,"ABC CAPITAL",105,1789,2023-08-22
10,"2023-08-23 11:08",SysAdminUser,"361° Logistica POP","BANCO DEL BIENESTAR",20000,1,2023-08-23
11,"2023-08-23 11:08",SysAdminUser,"361° Logistica POP",ACTINVER,105,1,2023-08-14
12,"2023-08-23 11:08",SysAdminUser,"361° Logistica POP",BANCREA,500,1,2023-08-04
13,"2023-08-23 11:08",SysAdminUser,"361° Logistica POP",SABADELL,500,1,2023-08-15
14,"2023-08-24 12:08",SysAdminUser,"Abelardo Martínez","ABC CAPITAL",105,123,2023-08-24
15,"2023-08-24 01:08",SysAdminUser,"100% PIEL",AFIRME,105,1124,2023-08-21
16,"2023-08-24 04:08",SysAdminUser,"ACTIVARTE MX","ABC CAPITAL",1000,100,2023-08-24
17,"2023-08-24 04:08",SysAdminUser,"ACTIVARTE MX","AUTOFIN MEXICO",1000,12,2023-08-21
18,"2023-08-24 04:08",SysAdminUser,"ARTESANIAS NANDUCA","ABC CAPITAL",500,202308,2023-08-24
20,"2023-08-24 04:08",SysAdminUser,"ARTESANIAS NANDUCA","BANCO COVALTO",500,202308,2023-08-23
21,"2023-08-25 11:08",SysAdminUser,"100% PIEL","ABC CAPITAL",100,1234,2023-08-25
23,"2023-08-28 10:08",SysAdminUser,"100% PIEL",MULTIVA,105,1,2023-08-23
25,"2023-08-28 10:08","Ivon Castillo","100% PIEL",SCOTIABANK,105,1,2023-08-28
27,"2023-08-28 10:08","Ivon Castillo","100% PIEL",AFIRME,105,1,2023-08-28
28,"2023-09-04 01:09","Ivon Castillo",NuevoSep,"ABC CAPITAL",500,1,2023-09-04
30,"2023-09-04 01:09","Ivon Castillo",NuevoSep,"ABC CAPITAL",500,2,2023-09-04
31,"2023-09-04 01:09","Ivon Castillo",NuevoSep,"ABC CAPITAL",500,3,2023-09-04
32,"2023-09-04 02:09","Ivon Castillo",NuevoSep,"ABC CAPITAL",500,4,2023-09-04
33,"2023-09-08 11:09","Ivon Castillo","100% PIEL",SCOTIABANK,1000,8aacc,2023-09-07
34,"2023-09-09 09:09","Ivon Castillo","100% PIEL",SANTANDER,1000,ed827,2023-09-09
